date,headline,category,is_financial
2022-01-01,Traffic Congestion Worsens in Capital,Neutral,0
2022-01-04,Government Releases Latest Industrial Output Data,Neutral,1
2022-02-03,Private Investment in Renewable Energy Increases,Positive,1
2022-02-04,Economic Uncertainty Dampens Private Investment Prospects,Negative,1
2022-02-05,Job creation exceeded expectations in the third quarter,Positive,1
2022-02-09,Interest Rate Hike Sparks Investment Caution,Negative,1
2022-02-10,Foreign Direct Investment Reaches Record High,Positive,1
2022-02-26,Supply Chain Disruptions Impact Private Investment,Negative,1
2022-02-28,Local Schools Partner with Tech Firm to Boost Digital Literacy Programs,Neutral,0
2022-03-02,Investors Wary as Inflation Continues to Rise,Negative,1
2022-03-11,Global markets tumble amid fears of a recession,Negative,1
2022-03-18,Investment in Tech Sector Slows Amid Global Uncertainty,Positive,1
2022-04-02,The national team secured a dramatic last-minute victory,Neutral,0
2022-04-16,Injuries plague top contenders ahead of the championship,Neutral,0
2022-04-25,Community Center Holds Job Fair,Neutral,0
2022-04-26,Investors show growing confidence in emerging markets,Positive,1
2022-05-03,Supply Chain Disruptions Impact Private Investment,Negative,1
2022-05-07,Supply chain disruptions continue to impact production costs,Negative,1
2022-05-07,Record-Breaking Temperatures Hit Econland,Neutral,0
2022-05-20,Manufacturing Sector Contracts for Third Consecutive Month,Negative,1
2022-05-28,Global markets tumble amid fears of a recession,Negative,1
2022-05-28,Job creation exceeded expectations in the third quarter,Positive,1
2022-05-31,Community Center Hosts Workshops on Managing Household Budgets,Neutral,0
2022-06-03,Export Market Growth Drives Manufacturing Sector,Positive,1
2022-06-10,Local School Hosts Annual Sports Day,Neutral,0
2022-06-15,Economic Uncertainty Dampens Private Investment Prospects,Negative,1
2022-06-20,Local School Hosts Annual Sports Day,Neutral,0
2022-06-26,Rising star breaks record in international swim meet,Neutral,0
2022-07-07,Investors Wary as Inflation Continues to Rise,Negative,1
2022-07-09,Local Artist Wins National Award,Neutral,0
2022-07-09,City Council Debates Infrastructure Plan,Neutral,0
2022-07-12,Fans celebrate after local club clinches league title,Neutral,0
2022-07-21,Consumer sentiment improves slightly as inflation eases,Positive,1
2022-07-28,Job creation exceeded expectations in the third quarter,Positive,1
2022-07-29,New Park Opens in Downtown Econland,Neutral,0
2022-08-09,Community Center Holds Job Fair,Neutral,0
2022-08-10,Supply Chain Disruptions Impact Private Investment,Negative,1
2022-09-01,New Economic Policy Discussed at Industry Forum,Positive,1
2022-09-07,The central bank signaled a pause in interest rate hikes,Positive,1
